City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
336,Shambu,ET,9.5667,37.1,49.77,76,0,3.76
337,Wisla,PL,49.6563,18.8591,46.09,83,99,4.32
338,Fukue,JP,32.6881,128.8419,65.82,54,44,16.6
339,Hobyo,SO,5.3505,48.5268,78.37,84,100,22.21
340,Ryabovo,RU,59.4,31.1333,42.64,75,51,9.98
341,Hithadhoo,MV,-0.6,73.0833,81.7,79,78,12.84
342,Punta De Bombon,PE,-17.1717,-71.7931,64.35,76,89,10.25
343,Ancud,CL,-41.8697,-73.8203,56.73,67,32,6.31
344,Mildura,AU,-34.2,142.15,53.56,62,100,4.61
345,Bonavista,CA,48.6499,-53.1147,44.11,85,82,16.17
346,Kotido,UG,2.9806,34.1331,81.46,37,98,6.29
347,Datong,CN,40.0936,113.2914,41.2,45,8,3.85
348,Pitimbu,BR,-7.4706,-34.8086,81.19,75,97,12.59
349,Laibin,CN,23.7,109.2667,58.64,75,76,8.66
350,San Juan Del Sur,NI,11.2529,-85.8705,84.18,68,20,4.38
351,Minudasht,IR,37.2289,55.3747,68.47,28,0,5.61
352,Goderich,CA,43.7501,-81.7165,58.91,60,27,21.85
353,Klaksvik,FO,62.2266,-6.589,45.52,77,100,24.09
354,Lianran,CN,24.9227,102.485,50.18,95,28,1.92
355,Coos Bay,US,43.3665,-124.2179,53.94,97,90,9.22
356,Placido De Castro,BR,-10.3353,-67.1856,85.86,53,100,3.96
357,Komsomolskiy,UZ,40.4272,71.7189,51.22,30,100,1.88
358,Belmonte,BR,-15.8631,-38.8828,79.3,72,93,8.41
359,Rawson,AR,-43.3002,-65.1023,55.62,50,0,13.78
360,Sao Filipe,CV,14.8961,-24.4956,78.73,78,0,10.4
361,Port Washington,US,40.8257,-73.6982,64.56,55,75,1.99
362,Phonhong,LA,18.5007,102.4166,68.14,94,96,2.98
363,Hervey Bay,AU,-25.2986,152.8535,74.03,89,100,10.83
364,Roald,NO,62.5833,6.1333,41.14,87,75,8.05
365,Erzin,TR,36.9559,36.2,66.72,85,14,4.32
366,Chakradharpur,IN,22.7,85.6333,75.69,96,100,4.43
367,Druzhba,UA,52.0428,33.9453,45.57,58,100,8.59
368,Coquimbo,CL,-29.9533,-71.3436,62.69,66,1,9.51
369,Aljezur,PT,37.3191,-8.8033,66.38,91,100,5.5
370,Bauta,CU,22.9828,-82.5464,87.69,58,40,9.22
371,Xai-Xai,MZ,-25.0519,33.6442,68.79,91,100,17.34
372,Izhma,RU,65.0083,53.9113,37.26,96,100,8.55
373,Padang,ID,-0.9492,100.3543,77.83,87,100,1.41
374,Zhigansk,RU,66.7697,123.3711,12.76,95,100,11.01
375,Suicheng,CN,33.8963,117.9331,47.32,73,38,5.12
376,Ahipara,NZ,-35.1667,173.1667,61.75,91,22,6.35
377,Tiznit,MA,29.5833,-9.5,73.45,24,0,0.29
378,Umm Kaddadah,SD,13.6017,26.6876,90.32,16,86,9.8
379,Manaure,CO,11.7751,-72.4445,84.97,69,100,10.0
380,Cabra,ES,37.4725,-4.4421,73.4,47,88,0.87
381,Morondava,MG,-20.2833,44.2833,76.62,79,7,4.72
382,Tabas,IR,33.5959,56.9244,69.26,16,0,2.77
383,Thinadhoo,MV,0.5333,72.9333,82.4,77,94,14.25
384,Bonfim,BR,3.0833,-59.95,80.89,72,100,12.93
385,Cockburn Town,TC,21.4612,-71.1419,82.85,73,50,4.83
386,Tanout,NE,14.9709,8.8879,85.53,27,61,6.51
387,Malpur,IN,23.35,73.45,78.08,60,99,1.92
388,Rumoi,JP,43.9344,141.6428,42.06,65,98,15.23
389,Hasanabad,IR,36.5465,61.0543,54.79,16,0,5.73
390,Dumfries,US,38.5676,-77.328,65.39,45,75,1.99
391,Waddan,LY,29.1614,16.139,74.21,34,0,16.55
392,Amahai,ID,-3.3333,128.9167,78.71,86,56,1.9
393,Saint-Martin-Boulogne,FR,50.7269,1.6186,58.32,73,7,9.95
394,Pleasanton,US,37.6624,-121.8747,77.72,27,1,3.0
395,Kaifeng,CN,34.7911,114.3483,47.05,66,100,8.12
396,Tigil,RU,57.8,158.6667,31.68,90,100,12.5
397,Zastron,ZA,-30.3023,27.084,44.6,47,0,12.82
398,Gacko,BA,43.1672,18.5353,39.33,82,99,3.74
399,Samarai,PG,-10.6167,150.6667,82.13,80,100,11.43
400,Dezful,IR,32.3811,48.4058,82.15,14,47,2.86
401,Wooster,US,40.8051,-81.9351,61.25,58,78,18.28
402,Olafsvik,IS,64.8945,-23.7142,35.01,96,100,18.97
403,Waipawa,NZ,-41.4122,175.5153,57.83,72,5,18.12
404,Ust-Tsilma,RU,65.441,52.1498,37.65,89,100,8.01
405,Jiuquan,CN,39.7432,98.5174,42.04,30,8,2.33
406,Raikot,IN,30.65,75.6,72.81,69,100,9.64
407,Lom,BG,43.8139,23.2361,51.49,89,91,0.34
408,Wanaka,NZ,-44.7,169.15,51.12,92,100,1.99
409,Bunia,CD,1.5667,30.25,64.06,86,19,1.43
410,Road Town,VG,18.4167,-64.6167,86.09,100,75,6.91
411,Dickinson,US,29.4608,-95.0513,75.42,100,1,3.0
412,Harper,LR,4.375,-7.7169,78.48,84,34,5.82
413,Colquechaca,BO,-18.6667,-66.0167,54.05,9,62,14.45
414,Urucara,BR,-2.5364,-57.76,94.35,41,92,2.73
415,Bac Lieu,VN,9.285,105.7244,76.42,89,100,4.03
416,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,92,100,11.5
417,Esperance,AU,-33.8667,121.9,53.44,90,2,3.98
418,Sandwick,GB,60.0,-1.25,48.02,81,75,16.11
419,Port Hedland,AU,-20.3167,118.5667,66.25,94,32,8.05
420,Maxixe,MZ,-23.8597,35.3472,74.12,94,2,3.96
421,Murmino,RU,54.6036,40.0544,40.59,86,47,6.67
422,Portland,US,45.5234,-122.6762,62.46,78,90,3.0
423,Si Sa Ket,TH,14.8333,104.3333,75.87,98,100,5.86
424,Margate,GB,51.3813,1.3862,58.71,79,6,4.0
425,Touros,BR,-5.1989,-35.4608,81.5,73,10,15.77
426,Guapore,BR,-28.8456,-51.8903,64.17,77,100,4.32
427,Taoudenni,ML,22.6783,-3.9836,90.37,13,100,11.86
428,Aksarka,RU,66.5606,67.7975,39.02,97,100,13.38
429,Kostyantynivka,UA,48.5277,37.7069,53.62,62,100,6.76
430,Gat,IL,31.61,34.7642,72.81,68,43,3.09
431,Zhangjiakou,CN,40.81,114.8794,39.87,31,39,1.43
432,Aklavik,CA,68.2191,-135.0107,22.59,73,17,11.27
433,Kelso,US,46.1468,-122.9084,60.67,89,90,8.05
434,Manga,BF,11.6636,-1.0731,86.86,30,32,1.97
435,Mogadishu,SO,2.0371,45.3438,79.09,83,26,11.21
436,Saint George,US,37.1041,-113.5841,79.27,23,1,1.99
437,Fushan,CN,37.4958,121.2581,44.74,51,10,6.6
438,Tutoia,BR,-2.7619,-42.2744,87.78,80,38,13.53
439,Husavik,IS,66.0449,-17.3389,34.45,86,100,15.73
440,Labuhan,ID,-6.8844,112.2051,81.27,79,74,5.97
441,Alyangula,AU,-13.8483,136.4192,80.53,80,99,5.32
442,Naze,JP,28.3667,129.4833,70.07,70,100,13.73
443,Khash,IR,28.2211,61.2158,57.27,13,0,3.24
444,Durusu,TR,41.3053,28.6767,58.84,83,100,11.01
445,Khuzhir,RU,53.1939,107.3397,33.21,63,1,4.76
446,Emba,KZ,48.8264,58.1442,51.21,35,100,8.7
447,Itacare,BR,-14.2775,-38.9967,78.55,73,67,6.29
448,Dongsheng,CN,39.8161,109.9776,42.64,80,95,10.27
449,Ivancsa,HU,47.1567,18.8203,37.76,61,6,3.36
450,Dolores,AR,-36.3132,-57.6792,69.4,51,86,8.48
451,Airai,TL,-8.9266,125.4092,61.27,90,8,1.88
452,Vardenik,AM,40.1393,45.4334,52.32,40,0,0.85
453,Vallenar,CL,-28.5708,-70.7581,78.67,26,0,8.12
454,Saint Anthony,US,45.0205,-93.218,70.34,37,1,1.01
455,Choya,RU,52.0108,86.5467,37.89,80,32,2.19
456,Bima,ID,-8.4667,118.7167,77.88,86,68,1.99
457,Liverpool,GB,53.4106,-2.9779,59.83,85,90,3.0
458,Bayevo,RU,53.2833,80.7667,37.47,78,0,5.12
459,Sibolga,ID,1.7427,98.7792,74.35,95,100,1.59
460,Ossora,RU,59.2353,163.0719,31.37,97,100,24.61
461,Argalasti,GR,39.2333,23.2167,57.6,79,70,8.43
462,Constantine,DZ,36.365,6.6147,58.23,73,27,3.78
463,Henties Bay,NA,-22.116,14.2845,56.86,83,92,4.16
464,Antofagasta,CL,-23.65,-70.4,66.22,56,36,9.82
465,Jalingo,NG,8.8833,11.3667,77.94,82,63,3.69
466,Skala Fourkas,GR,39.9998,23.3841,62.44,78,42,3.33
467,Pacific Grove,US,36.6177,-121.9166,74.57,78,1,4.0
468,San Jose De Guanipa,VE,8.8872,-64.1651,87.69,53,100,4.92
469,Visnes,NO,59.3556,5.2242,44.82,75,20,6.91
470,High Prairie,CA,55.4334,-116.4858,41.5,79,100,5.44
471,Balingasay,PH,16.3573,119.8564,81.19,80,95,8.68
472,Vostok,RU,46.4856,135.8833,15.42,75,9,5.39
473,Sistranda,NO,63.7256,8.834,44.91,62,61,16.13
474,Konstantinovka,RU,49.6167,127.9833,23.22,48,8,4.14
475,Hvide Sande,DK,56.0045,8.1294,51.1,87,100,8.03
476,Kuito,AO,-12.3833,16.9333,65.12,61,20,3.89
477,Kupino,RU,54.3663,77.2981,39.67,71,82,7.85
